Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
13T&I0047,CN,A,Granted,13T&I0047-CN-PCT,201480076323.7,8/25/2016,11,12/10/2024,581,11/16/2024
13T&I0047,CN,A,Granted,13T&I0047-CN-PCT,201480076323.7,8/25/2016,12,12/10/2025,582,
13T&I0047,DE,,Granted,13T&I0047-DE-EPT,14809434.5,12/10/2014,11,12/10/2024,637,12/22/2024
13T&I0047,DE,,Granted,13T&I0047-DE-EPT,14809434.5,12/10/2014,12,12/10/2025,856,
13T&I0047,FR,,Granted,13T&I0047-FR-EPT,14809434.5,12/10/2014,11,12/10/2024,311,12/24/2024
13T&I0047,FR,,Granted,13T&I0047-FR-EPT,14809434.5,12/10/2014,12,12/10/2025,382,
13T&I0047,GC,,Pending,13T&I0047-GC-DIV,201436328,10/22/2018,12,3/1/2025,1699,2/16/2025
13T&I0047,GC,,Pending,13T&I0047-GC-DIV,201436328,10/22/2018,13,3/1/2026,1753,
13T&I0047,GC,A,Granted,13T&I0047-GC-NP,2014/28539,12/14/2014,12,3/1/2025,1699,2/16/2025
13T&I0047,GC,A,Granted,13T&I0047-GC-NP,2014/28539,12/14/2014,13,3/1/2026,1753,
13T&I0047,IN,,Granted,13T&I0047-IN-PCT,201617027325,8/10/2016,11,12/10/2024,396,11/29/2024
13T&I0047,IN,,Granted,13T&I0047-IN-PCT,201617027325,8/10/2016,12,12/10/2025,343,
13T&I0047,KR,,Granted,13T&I0047-KR-PCT,1020167025503,9/13/2016,4,3/11/2025,284,2/16/2025
13T&I0047,KR,,Granted,13T&I0047-KR-PCT,1020167025503,9/13/2016,5,3/11/2026,287,
13T&I0047,NL,,Granted,13T&I0047-NL-EPT,14809434.5,12/10/2014,11,12/10/2024,591,12/26/2024
13T&I0047,NL,,Granted,13T&I0047-NL-EPT,14809434.5,12/10/2014,12,12/10/2025,756,
13T&I0047,SG,,Granted,13T&I0047-SG-PCT,11201606523T,8/5/2016,11,12/10/2024,554,11/16/2024
